-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 03/21/2023 through 03/21/2023 in LST
Location: Latitude  6.9271   Longitude 79.8612 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 123.66 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,T2M,ALLSKY_SFC_SW_DWN
2023,3,21,0,25.34,0.0
2023,3,21,1,25.18,0.0
2023,3,21,2,25.0,0.0
2023,3,21,3,24.82,0.0
2023,3,21,4,24.78,0.0
2023,3,21,5,24.9,0.0
2023,3,21,6,25.98,95.65
2023,3,21,7,27.41,318.95
2023,3,21,8,28.19,533.67
2023,3,21,9,29.07,716.17
2023,3,21,10,29.84,860.97
2023,3,21,11,30.5,931.12
2023,3,21,12,30.9,919.92
2023,3,21,13,30.95,845.62
2023,3,21,14,30.58,695.08
2023,3,21,15,29.89,486.75
2023,3,21,16,29.02,243.25
2023,3,21,17,27.81,36.88
2023,3,21,18,27.08,0.0
2023,3,21,19,26.78,0.0
2023,3,21,20,26.59,0.0
2023,3,21,21,26.51,0.0
2023,3,21,22,26.35,0.0
2023,3,21,23,26.15,0.0
